color,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
white,6.7,0.25,0.26,1.55,0.041,118.5,216,0.9949,3.55,0.63,9.4,3
white,7.1,0.49,0.22,2,0.047,146.5,307.5,0.9924,3.24,0.37,11,3
white,11.8,0.23,0.38,11.1,0.034,15,123,0.9997,2.93,0.55,9.7,3
white,6.1,0.2,0.34,9.5,0.041,38,201,0.995,3.14,0.44,10.1,3
white,6.2,0.23,0.35,0.7,0.051,24,111,0.9916,3.37,0.43,11,3
white,6.1,0.26,0.25,2.9,0.047,289,440,0.99314,3.44,0.64,10.5,3
red,11.6,0.58,0.66,2.2,0.074,10,47,1.0008,3.25,0.57,9,3
red,10.4,0.61,0.49,2.1,0.2,5,16,0.9994,3.16,0.63,8.4,3
red,7.4,1.185,0,4.25,0.097,5,14,0.9966,3.63,0.54,10.7,3
red,10.4,0.44,0.42,1.5,0.145,34,48,0.99832,3.38,0.86,9.9,3
red,8.3,1.02,0.02,3.4,0.084,6,11,0.99892,3.48,0.49,11,3
red,7.6,1.58,0,2.1,0.137,5,9,0.99476,3.5,0.4,10.9,3
red,6.8,0.815,0,1.2,0.267,16,29,0.99471,3.32,0.51,9.8,3
red,7.3,0.98,0.05,2.1,0.061,20,49,0.99705,3.31,0.55,9.7,3
red,7.1,0.875,0.05,5.7,0.082,3,14,0.99808,3.4,0.52,10.2,3
red,6.7,0.76,0.02,1.8,0.078,6,12,0.996,3.55,0.63,9.95,3
white,8.1,0.27,0.41,1.45,0.033,11,63,0.9908,2.99,0.56,12,5
white,7.6,0.67,0.14,1.5,0.074,25,168,0.9937,3.05,0.51,9.3,5
white,6.5,0.39,0.23,5.4,0.051,25,149,0.9934,3.24,0.35,10,5
white,7,0.47,0.07,1.1,0.035,17,151,0.991,3.02,0.34,10.5,5
white,6,0.27,0.28,4.8,0.063,31,201,0.9964,3.69,0.71,10,5
white,7.1,0.43,0.61,11.8,0.045,54,155,0.9974,3.11,0.45,8.7,5
white,7.4,0.25,0.37,13.5,0.06,52,192,0.9975,3,0.44,9.1,5
white,6.7,0.41,0.34,9.2,0.049,29,150,0.9968,3.22,0.51,9.1,5
white,6.3,0.36,0.3,4.8,0.049,14,85,0.9932,3.28,0.39,10.6,5
white,9.8,0.42,0.48,9.85,0.034,5,110,0.9958,2.87,0.29,10,5
red,9.1,0.45,0.35,2.4,0.08,23,78,0.9987,3.38,0.62,9.5,5
red,12.3,0.39,0.63,2.3,0.091,6,18,1.0004,3.16,0.49,9.5,5
red,9.2,0.63,0.21,2.7,0.097,29,65,0.9988,3.28,0.58,9.6,5
red,9.6,0.68,0.24,2.2,0.087,5,28,0.9988,3.14,0.6,10.2,5
red,10.2,0.67,0.39,1.9,0.054,6,17,0.9976,3.17,0.47,10,5
red,9.2,0.59,0.24,3.3,0.101,20,47,0.9988,3.26,0.67,9.6,5
red,9,0.44,0.49,2.4,0.078,26,121,0.9978,3.23,0.58,9.2,5
red,11.7,0.49,0.49,2.2,0.083,5,15,1,3.19,0.43,9.2,5
red,9.9,0.49,0.58,3.5,0.094,9,43,1.0004,3.29,0.58,9,5
red,11.3,0.37,0.41,2.3,0.088,6,16,0.9988,3.09,0.8,9.3,5
white,7,0.27,0.36,20.7,0.045,45,170,1.001,3,0.45,8.8,6
white,6.4,0.33,0.31,5.5,0.048,42,173,0.9951,3.19,0.66,9.3,6
white,5.4,0.29,0.47,3,0.052,47,145,0.993,3.29,0.75,10,6
white,6.7,0.2,0.42,14,0.038,83,160,0.9987,3.16,0.5,9.4,6
white,6.5,0.34,0.28,1.8,0.041,43,188,0.9928,3.13,0.37,9.6,6
white,7.7,0.22,0.42,1.9,0.052,10,87,0.9922,3.3,0.49,11.8,6
white,6.1,0.27,0.33,2.2,0.021,26,117,0.9886,3.12,0.3,12.5,6
white,6.5,0.34,0.28,1.8,0.041,43,188,0.9928,3.13,0.37,9.6,6
white,7.9,0.14,0.28,1.8,0.041,44,178,0.9954,3.45,0.43,9.2,6
white,8.3,0.25,0.49,16.8,0.048,50,228,1.0001,3.03,0.52,9.2,6
red,6,0.51,0,2.1,0.064,40,54,0.995,3.54,0.93,10.7,6
red,7.3,0.67,0.02,2.2,0.072,31,92,0.99566,3.32,0.68,11.06666667,6
red,7.1,0.22,0.49,1.8,0.039,8,18,0.99344,3.39,0.56,12.4,6
red,7.5,0.38,0.57,2.3,0.106,5,12,0.99605,3.36,0.55,11.4,6
red,6.4,0.56,0.15,1.8,0.078,17,65,0.99294,3.33,0.6,10.5,6
red,,0.44,0.09,2.2,0.063,9,18,0.99444,,0.69,11.3,6
red,6.3,0.68,0.01,3.7,0.103,32,54,0.99586,3.51,0.66,11.3,6
red,7.2,,0.33,2.5,0.068,34,102,0.99414,3.27,0.78,12.8,6
red,6.3,0.51,0.13,2.3,0.076,29,40,0.99574,3.42,0.75,11,6
red,6,0.31,0.47,3.6,0.067,18,42,0.99549,3.39,0.66,11,6
white,6.6,0.16,0.4,1.5,0.044,48,143,0.9912,3.54,0.52,12.4,7
white,7,0.3,0.38,14.9,0.032,60,181,0.9983,3.18,0.61,9.3,7
white,6.2,0.17,0.28,4.7,0.037,39,133,0.9931,3.41,0.46,10.8,7
white,5.8,0.32,0.38,4.75,0.033,23,94,0.991,3.42,0.42,11.8,7
white,6.8,0.36,0.24,4.6,0.039,24,124,0.9909,3.27,0.34,12.6,7
white,6.9,0.24,0.49,1.3,0.032,35,148,0.9932,3.45,0.57,10.7,7
white,7.3,0.19,0.49,15.55,0.058,50,134,0.9998,3.42,0.36,9.1,7
white,7,0.35,0.3,6.5,0.028,27,87,0.9936,3.4,0.42,11.4,7
white,7.2,0.25,0.28,14.4,0.055,55,205,0.9986,3.12,0.38,9,7
white,7.3,0.26,0.33,17.85,0.049,41.5,195,1,3.06,0.44,9.1,7
red,6.7,0.28,0.28,2.4,0.012,36,100,0.99064,3.26,0.39,11.7,7
red,10.7,0.52,0.38,2.6,0.066,29,56,0.99577,3.15,0.79,12.1,7
red,9.4,0.395,0.46,4.6,0.094,3,10,0.99639,3.27,0.64,12.2,7
red,10.2,0.44,0.42,2,0.071,7,20,0.99566,3.14,0.79,11.1,7
red,7.4,0.36,0.34,1.8,0.075,18,38,0.9933,3.38,0.88,13.6,7
red,8.5,0.32,0.42,2.3,0.075,12,19,0.99434,3.14,0.71,11.8,7
red,7.7,0.28,0.3,2,0.062,18,34,0.9952,3.28,0.9,11.3,7
red,6.6,0.58,0.02,2,0.062,37,53,0.99374,3.35,0.76,11.6,7
red,5.3,0.47,0.11,2.2,0.048,16,89,0.99182,3.54,0.88,13.6,7
red,8.4,0.37,0.43,2.3,0.063,12,19,0.9955,3.17,0.81,11.2,7
white,,0.66,0.48,1.2,0.029,29,75,0.9892,3.33,0.39,12.8,8
white,7.3,0.25,0.36,2.1,0.034,30,177,0.99085,3.25,0.4,11.9,8
white,6.1,0.31,0.37,8.4,0.031,70,170,0.9934,3.42,0.4,11.7,8
white,7.3,0.39,0.37,1.1,0.043,36,113,0.991,3.39,0.48,12.7,8
white,7.1,0.26,0.31,2.2,0.044,29,128,0.9937,3.34,0.64,10.9,8
white,4.9,0.33,0.31,1.2,0.016,39,150,0.98713,3.33,0.59,14,8
white,6.7,0.33,0.36,6.6,0.042,34,116,0.99123,2.97,0.31,12.2,8
white,5.6,0.12,0.33,2.9,0.044,21,73,0.98896,3.17,0.32,12.9,8
white,6.3,0.17,0.32,1,0.04,39,118,0.98886,3.31,0.4,13.1,8
white,7.3,0.19,0.27,13.9,0.057,45,155,0.99807,2.94,0.41,8.8,8
red,7.9,0.35,0.46,3.6,0.078,15,37,0.9973,3.35,0.86,12.8,8
red,5.6,0.85,0.05,1.4,0.045,12,88,0.9924,3.56,0.82,12.9,8
red,12.6,0.31,0.72,2.2,0.072,6,29,0.9987,2.88,0.82,9.8,8
red,9.4,0.3,0.56,2.8,0.08,6,17,0.9964,3.15,0.92,11.7,8
red,5,0.42,0.24,2,0.06,19,50,0.9917,3.72,0.74,14,8
red,9.1,0.4,0.5,1.8,0.071,7,16,0.99462,3.21,0.69,12.5,8
red,8.6,0.42,0.39,1.8,0.068,6,12,0.99516,3.35,0.69,11.7,8
red,7.2,0.33,0.33,1.7,0.061,3,13,0.996,3.23,1.1,10,8
red,7.2,0.38,0.31,2,0.056,15,29,0.99472,3.23,0.76,11.3,8
red,7.4,0.36,0.3,1.8,0.074,17,24,0.99419,3.24,0.7,11.4,8
white,9.1,0.27,0.45,10.6,0.035,28,124,0.997,3.2,0.46,10.4,9
white,6.6,0.36,0.29,1.6,0.021,24,85,0.98965,3.41,0.61,12.4,9
white,7.4,0.24,0.36,2,0.031,27,139,0.99055,3.28,0.48,12.5,9
white,6.9,0.36,0.34,4.2,0.018,57,119,0.9898,3.28,0.36,12.7,9
white,7.1,0.26,0.49,2.2,0.032,31,113,0.9903,3.37,0.42,12.9,9
